,SymbolsA,EntrezsA,AveExpr,B
213262_at,SACS,26278,6.54561279165006,-0.696229612683712
203843_at,RPS6KA3,6197,6.62188128694376,-0.716244885051827
204143_s_at,ENOSF1,55556,8.93862090563167,-0.726332398411823
202396_at,TCERG1,10915,8.75957254533524,-0.730869632467722
61874_at,CACFD1,11094,10.6039507171497,-0.737140697046586
218776_s_at,TMEM62,80021,9.50742898033188,-0.737341591019052
201324_at,EMP1,2012,9.7815447312375,-0.740511063935036
209185_s_at,IRS2,8660,9.61255095430257,-0.748479161423945
200643_at,HDLBP,3069,10.2521086143207,-0.748529921065729
205051_s_at,KIT,3815,7.76793347746346,-0.753350896046622
200081_s_at,RPS6,6194,12.4737840785698,-0.754689582111505
202313_at,PPP2R2A,5520,9.43963740620475,-0.762426753393769
218542_at,CEP55,55165,8.82728199652407,-0.766560436192765
218684_at,LRRC8D,55144,9.87888032165346,-0.780443780526474
213113_s_at,SLC43A3,29015,9.46059608818418,-0.791516560207524
208249_s_at,TGDS,23483,7.39446860168801,-0.793720601128555
204007_at,FCGR3B,2215,8.93540804673145,-0.799319180279388
221589_s_at,ALDH6A1,4329,8.03393382794323,-0.811468683022675
202741_at,PRKACB,5567,10.5378004008089,-0.8118642552388
218997_at,POLR1E,64425,7.87312173742525,-0.812663690160177
209213_at,CBR1,873,7.48991596483422,-0.818608902091425
208309_s_at,MALT1,10892,7.42285866691281,-0.820046745469642
219572_at,CADPS2,93664,9.13573622567476,-0.834528196436011
213725_x_at,XYLT1,64131,8.53520704601984,-0.836635886929883
217979_at,TSPAN13,27075,11.9161181910716,-0.850308492902943
218397_at,FANCL,55120,8.65436063549999,-0.860280042485082
202793_at,LPCAT3,10162,6.74970974582664,-0.869246341252356
209659_s_at,CDC16,8881,10.1431297123753,-0.870274944521888
221922_at,GPSM2,29899,9.06941830355895,-0.880722555236593
218844_at,ACSF2,80221,7.85031705399483,-0.883492164592217
206560_s_at,MIA,8190,7.60818593685421,-0.898834346245559
206157_at,PTX3,5806,5.65594987775604,-0.898896095884563
218944_at,PYCRL,65263,7.41006379910831,-0.900630536377501
209083_at,CORO1A,11151,8.24045558523768,-0.901072425676212
201900_s_at,AKR1A1,10327,11.4665696318423,-0.901667972054303
205590_at,RASGRP1,10125,6.70120405948518,-0.916094231104168
221522_at,ANKRD27,84079,8.40123979283018,-0.919476670533955
221583_s_at,KCNMA1,3778,8.03066087827864,-0.921357438738641
202201_at,BLVRB,645,10.0531398531027,-0.927616649893539
204364_s_at,REEP1,65055,8.21679029571677,-0.930721892633375
219295_s_at,PCOLCE2,26577,5.57023899739248,-0.939255258828787
212036_s_at,PNN,5411,8.87527074541385,-0.944523049731365
214038_at,CCL8,6355,8.87173421109364,-0.949277620202083
222235_s_at,CSGALNACT2,55454,7.85299141930717,-0.967136208682855
219002_at,FASTKD1,79675,8.78656393089252,-0.981360744574885
203645_s_at,CD163,9332,10.314883260357,-1.00630692290667
59625_at,NOL3,8996,7.62469363588207,-1.01476210349165
208180_s_at,HIST1H4H,8365,7.23709118509876,-1.01511741152104
217889_s_at,CYBRD1,79901,8.0018745839929,-1.0198761449547
205819_at,MARCO,8685,8.24771511473615,-1.02180478629263
203302_at,DCK,1633,7.47112283562413,-1.02404827152051
213511_s_at,MTMR1,8776,9.23489997005917,-1.02738008275435
202666_s_at,ACTL6A,86,8.42376268668986,-1.03863694027963
200934_at,DEK,7913,10.9082837830828,-1.04157721816915
203211_s_at,MTMR2,8898,8.25869682185666,-1.06082576081414
204557_s_at,DZIP1,22873,5.0505927945199,-1.06306756991848
204813_at,MAPK10,5602,8.2674311661224,-1.06956179408964
218882_s_at,WDR3,10885,8.97486882197029,-1.08280845821521
203603_s_at,ZEB2,9839,6.2893511590198,-1.08770604483915
211034_s_at,HECTD4,283450,9.26252196413948,-1.0952970604706
221865_at,TMEM268,203197,7.95454526333153,-1.09722330495816
37950_at,PREP,5550,7.27678483006913,-1.09846365607067
202207_at,ARL4C,10123,9.33398592360752,-1.10433077735531
202308_at,SREBF1,6720,9.29587282259911,-1.10552601826943
219238_at,PIGV,55650,8.74479021677324,-1.10974893375592
213341_at,FEM1C,56929,8.45204166897177,-1.11036118296588
208924_at,RNF11,26994,9.87508340603422,-1.11175760638633
218336_at,PFDN2,5202,10.923444467749,-1.12776016798205
218868_at,ACTR3B,57180,7.18504095759746,-1.12912530938002
203693_s_at,E2F3,1871,8.3938243205888,-1.1321988795594
200832_s_at,SCD,6319,10.4685299009737,-1.14456009629662
213400_s_at,TBL1X,6907,8.75026948180535,-1.14894371677909
202660_at,ITPR2,3709,6.95111806575403,-1.15184810962359
219306_at,KIF15,56992,7.44693084502497,-1.15239116799562
203564_at,FANCG,2189,8.36642566794903,-1.15360278408721
